ruche;chemin;nom_fichier;annee;mois;jour;date;taille_Mo;heure;nb_videos;premiere_heure;derniere_heure;heures_presentes;taille_totale_mo;taille_moyenne_video_mo;jour_suspect_taille;commentaires;Catégorie;Exploitabilité;Nbr LED;nom_lot;taille_lot;hyperparametre;hyperparametre_file;categorie_traitement;passage;statut;nb_phases_WPM;temps_s;chemin_serveur;output_path;temps_passage_1_s;temps_passage_2_s;a_ete_relancee;temps_total_video_s;fichier_source_csv;statut_passage_1;nb_phases_passage_1;statut_passage_2;nb_phases_passage_2;duree_passage_1_lot_s;duree_passage_2_lot_s;duree_calcul_lot_s;n_workers_passage_1;n_workers_passage_2;datetime_video;temperature_moy_30min;pression_moy_30min;humidite_moy_30min;vent_moyen_IC_30min;rafales_IC_moy_30min;rafales_IC_max_30min;direction_IC_30min;vent_moyen_MR_30min;rafales_MR_moy_30min;rafales_MR_max_30min;direction_MR_30min;n_obs_IC_30min;n_obs_MR_30min;lightning_activity_1h;lightning_distance_min_1h;n_obs_lightning_1h;pluie_1h_precedente;heure_pluie;delai_pluie_min
nap-mag12552202;F:\nap-mag12552202\2022-7-13\Record_2022-7-13_12-0-3_csi0.mp4;Record_2022-7-13_12-0-3_csi0.mp4;2022;7;13;2022-07-13;0.000595;12:0:3;22;12:00:03;15:22:14;12,13,14,15;4443.6;201.98;NON;ok - Setup camera décalé A (6 LED, apparente n°5);OK;Exploitable;6.0;2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26;50;best_hyperparameters_DX20_R1;best_hyperparameters_DX20_R1.json;2202_CAMERA_DECALEE_A;passage_1;reussite_sans_phase;0;3.8;/home/LEnguehard/code/DANSE/pipeline_wpm/videos/Record_2022-7-13_12-0-3_csi0.mp4;/home/LEnguehard/code/DANSE/pipeline_wpm/outputs/Record_2022-7-13_12-0-3_csi0;3.8;0.0;False;3.8;resultats_2202_2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26.csv;;;;;;;;;;2022-07-13 12:00:03;34.6;1028.45;25.5;11.100000000000001;24.1;24.1;91.5;;;;;2;0;;;0;0.0;2022-07-13 12:00:00;0.05
nap-mag12552202;F:\nap-mag12552202\2022-7-13\Record_2022-7-13_13-12-7_csi0.mp4;Record_2022-7-13_13-12-7_csi0.mp4;2022;7;13;2022-07-13;222.030897;13:12:7;22;12:00:03;15:22:14;12,13,14,15;4443.6;201.98;NON;ok - Setup camera décalé A (6 LED, apparente n°5);OK;Exploitable;6.0;2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26;50;best_hyperparameters_DX20_R1;best_hyperparameters_DX20_R1.json;2202_CAMERA_DECALEE_A;passage_1;reussite;16;805.1;/home/LEnguehard/code/DANSE/pipeline_wpm/videos/Record_2022-7-13_13-12-7_csi0.mp4;/home/LEnguehard/code/DANSE/pipeline_wpm/outputs/Record_2022-7-13_13-12-7_csi0;805.1;0.0;False;805.1;resultats_2202_2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26.csv;;;;;;;;;;2022-07-13 13:12:07;35.8;1028.05;25.0;0.65;23.0;23.0;67.0;;;;;2;0;;;0;0.0;2022-07-13 13:00:00;12.116666666666667
nap-mag12552202;F:\nap-mag12552202\2022-7-13\Record_2022-7-13_14-12-10_csi0.mp4;Record_2022-7-13_14-12-10_csi0.mp4;2022;7;13;2022-07-13;225.821585;14:12:10;22;12:00:03;15:22:14;12,13,14,15;4443.6;201.98;NON;ok - Setup camera décalé A (6 LED, apparente n°5);OK;Exploitable;6.0;2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26;50;best_hyperparameters_DX20_R1;best_hyperparameters_DX20_R1.json;2202_CAMERA_DECALEE_A;passage_2;reussite;12;348.6;/home/LEnguehard/code/DANSE/pipeline_wpm/videos/Record_2022-7-13_14-12-10_csi0.mp4;/home/LEnguehard/code/DANSE/pipeline_wpm/outputs/Record_2022-7-13_14-12-10_csi0;135.6;348.6;True;484.2;resultats_2202_2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26.csv;;;;;;;;;;2022-07-13 14:12:10;;;;;;;;;;;;0;0;;;0;;;
nap-mag12552202;F:\nap-mag12552202\2022-7-13\Record_2022-7-13_15-12-13_csi0.mp4;Record_2022-7-13_15-12-13_csi0.mp4;2022;7;13;2022-07-13;223.789543;15:12:13;22;12:00:03;15:22:14;12,13,14,15;4443.6;201.98;NON;ok - Setup camera décalé A (6 LED, apparente n°5);OK;Exploitable;6.0;2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26;50;best_hyperparameters_DX20_R1;best_hyperparameters_DX20_R1.json;2202_CAMERA_DECALEE_A;passage_1;reussite;11;899.2;/home/LEnguehard/code/DANSE/pipeline_wpm/videos/Record_2022-7-13_15-12-13_csi0.mp4;/home/LEnguehard/code/DANSE/pipeline_wpm/outputs/Record_2022-7-13_15-12-13_csi0;899.2;0.0;False;899.2;resultats_2202_2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26.csv;;;;;;;;;;2022-07-13 15:12:13;36.8;1026.9;22.0;13.3;25.7;25.7;59.00000000000001;;;;;1;0;;;0;;;
nap-mag12552202;F:\nap-mag12552202\2022-7-18\Record_2022-7-18_11-11-3_csi0.mp4;Record_2022-7-18_11-11-3_csi0.mp4;2022;7;18;2022-07-18;231.153689;11:11:3;11;11:11:03;16:53:06;11,14,16;2009.72;182.7;NON;ok - Setup camera décalé A (6 LED, apparente n°5);OK;Exploitable;6.0;2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26;50;best_hyperparameters_DX20_R1;best_hyperparameters_DX20_R1.json;2202_CAMERA_DECALEE_A;passage_2;reussite;12;376.8;/home/LEnguehard/code/DANSE/pipeline_wpm/videos/Record_2022-7-18_11-11-3_csi0.mp4;/home/LEnguehard/code/DANSE/pipeline_wpm/outputs/Record_2022-7-18_11-11-3_csi0;97.7;376.8;True;474.5;resultats_2202_2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26.csv;;;;;;;;;;2022-07-18 11:11:03;37.699999999999996;1023.5666666666666;25.0;8.266666666666667;28.933333333333334;29.0;116.6745232343287;;;;;3;0;;;0;0.0;2022-07-18 11:00:00;11.05
nap-mag12552202;F:\nap-mag12552202\2022-7-18\Record_2022-7-18_14-34-3_csi0.mp4;Record_2022-7-18_14-34-3_csi0.mp4;2022;7;18;2022-07-18;221.250149;14:34:3;11;11:11:03;16:53:06;11,14,16;2009.72;182.7;NON;ok - Setup camera décalé A (6 LED, apparente n°5);OK;Exploitable;6.0;2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26;50;best_hyperparameters_DX20_R1;best_hyperparameters_DX20_R1.json;2202_CAMERA_DECALEE_A;passage_1;reussite_sans_phase;0;485.6;/home/LEnguehard/code/DANSE/pipeline_wpm/videos/Record_2022-7-18_14-34-3_csi0.mp4;/home/LEnguehard/code/DANSE/pipeline_wpm/outputs/Record_2022-7-18_14-34-3_csi0;485.6;0.0;False;485.6;resultats_2202_2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26.csv;;;;;;;;;;2022-07-18 14:34:03;41.3;1021.1333333333333;14.0;22.933333333333334;41.8;41.8;100.6821712428129;;;;;3;0;;;0;0.0;2022-07-18 14:00:00;34.05
nap-mag12552202;F:\nap-mag12552202\2022-7-18\Record_2022-7-18_16-23-3_csi0.mp4;Record_2022-7-18_16-23-3_csi0.mp4;2022;7;18;2022-07-18;225.078241;16:23:3;11;11:11:03;16:53:06;11,14,16;2009.72;182.7;NON;ok - Setup camera décalé A (6 LED, apparente n°5);OK;Exploitable;6.0;2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26;50;best_hyperparameters_DX20_R1;best_hyperparameters_DX20_R1.json;2202_CAMERA_DECALEE_A;passage_1;reussite;2;714.3;/home/LEnguehard/code/DANSE/pipeline_wpm/videos/Record_2022-7-18_16-23-3_csi0.mp4;/home/LEnguehard/code/DANSE/pipeline_wpm/outputs/Record_2022-7-18_16-23-3_csi0;714.3;0.0;False;714.3;resultats_2202_2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26.csv;;;;;;;;;;2022-07-18 16:23:03;40.9;1019.9333333333334;12.0;26.03333333333333;43.4;43.4;114.68524178348797;;;;;3;0;;;0;0.0;2022-07-18 16:00:00;23.05
nap-mag12552202;F:\nap-mag12552202\2022-7-19\Record_2022-7-19_10-13-6_csi0.mp4;Record_2022-7-19_10-13-6_csi0.mp4;2022;7;19;2022-07-19;217.84697;10:13:6;17;09:33:03;12:13:12;9,10,11,12;3474.92;204.41;NON;ok - Setup camera décalé A (6 LED, apparente n°5);OK;Exploitable;6.0;2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26;50;best_hyperparameters_DX20_R1;best_hyperparameters_DX20_R1.json;2202_CAMERA_DECALEE_A;passage_1;reussite_sans_phase;0;659.3;/home/LEnguehard/code/DANSE/pipeline_wpm/videos/Record_2022-7-19_10-13-6_csi0.mp4;/home/LEnguehard/code/DANSE/pipeline_wpm/outputs/Record_2022-7-19_10-13-6_csi0;659.3;0.0;False;659.3;resultats_2202_2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26.csv;;;;;;;;;;2022-07-19 10:13:06;24.200000000000003;1022.7999999999998;72.66666666666667;23.36666666666667;35.03333333333333;36.5;254.33417736024788;;;;;3;0;;;0;0.0;2022-07-19 10:00:00;13.1
nap-mag12552202;F:\nap-mag12552202\2022-7-19\Record_2022-7-19_11-13-9_csi0.mp4;Record_2022-7-19_11-13-9_csi0.mp4;2022;7;19;2022-07-19;218.528276;11:13:9;17;09:33:03;12:13:12;9,10,11,12;3474.92;204.41;NON;ok - Setup camera décalé A (6 LED, apparente n°5);OK;Exploitable;6.0;2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26;50;best_hyperparameters_DX20_R1;best_hyperparameters_DX20_R1.json;2202_CAMERA_DECALEE_A;passage_1;reussite;9;616.9;/home/LEnguehard/code/DANSE/pipeline_wpm/videos/Record_2022-7-19_11-13-9_csi0.mp4;/home/LEnguehard/code/DANSE/pipeline_wpm/outputs/Record_2022-7-19_11-13-9_csi0;616.9;0.0;False;616.9;resultats_2202_2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26.csv;;;;;;;;;;2022-07-19 11:13:09;25.53333333333333;1023.2666666666668;59.0;25.099999999999998;42.1;44.5;279.7288888665087;;;;;3;0;;;0;0.0;2022-07-19 11:00:00;13.15
nap-mag12552202;F:\nap-mag12552202\2022-7-19\Record_2022-7-19_12-13-12_csi0.mp4;Record_2022-7-19_12-13-12_csi0.mp4;2022;7;19;2022-07-19;159.383552;12:13:12;17;09:33:03;12:13:12;9,10,11,12;3474.92;204.41;NON;ok - Setup camera décalé A (6 LED, apparente n°5);OK;Exploitable;6.0;2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26;50;best_hyperparameters_DX20_R1;best_hyperparameters_DX20_R1.json;2202_CAMERA_DECALEE_A;passage_1;reussite_sans_phase;0;4.7;/home/LEnguehard/code/DANSE/pipeline_wpm/videos/Record_2022-7-19_12-13-12_csi0.mp4;/home/LEnguehard/code/DANSE/pipeline_wpm/outputs/Record_2022-7-19_12-13-12_csi0;4.7;0.0;False;4.7;resultats_2202_2202_CAMERA_DECALEE_A_LOT_001_50_2022-07-13_2022-07-26.csv;;;;;;;;;;2022-07-19 12:13:12;26.0;1023.5;57.666666666666664;25.3;43.1;44.5;277.818936827811;;;;;3;0;;;0;0.0;2022-07-19 12:00:00;13.2
