ruche;composante;test;p_value
Ruche 2202;Presence;Uniformite;0.39101283437573486
Ruche 2202;Presence;Dispersion;0.124
Ruche 2202;Presence;Outliers;0.5533914129153484
Ruche 2202;Intensite_positive;Uniformite;0.017157466295619823
Ruche 2202;Intensite_positive;Dispersion;0.6
Ruche 2202;Intensite_positive;Outliers;5.273684103553682e-5
Ruche 2203;Presence;Uniformite;0.7978320539648367
Ruche 2203;Presence;Dispersion;0.408
Ruche 2203;Presence;Outliers;0.8418015629699089
Ruche 2203;Intensite_positive;Uniformite;0.13245602641764703
Ruche 2203;Intensite_positive;Dispersion;0.252
Ruche 2203;Intensite_positive;Outliers;0.22361340891148304
Ruche 2206;Presence;Uniformite;0.395211602802243
Ruche 2206;Presence;Dispersion;0.148
Ruche 2206;Presence;Outliers;0.8716189639875143
Ruche 2206;Intensite_positive;Uniformite;0.04781483412636095
Ruche 2206;Intensite_positive;Dispersion;0
Ruche 2206;Intensite_positive;Outliers;0.7344643131737445
