groupe;heure;n;mediane;q25;q75
G1;9;88;40.5;25;74.75
G1;10;87;38;24;59
G1;11;87;33;21;52.5
G1;12;88;35;19.75;55.75
G1;13;89;31;19;63
G1;14;89;31;20;51
G1;15;89;29;17;47
G1;16;87;24;17;41.5
G1;17;88;30.5;19.5;43.25
G1;18;83;28;17;43
G1;19;88;25;18.75;39.25
G1;20;88;27.5;17;47.75
G2;9;49;2;1;3
G2;10;50;2;1;3.75
G2;11;47;2;1;4
G2;12;47;2;1;5.5
G2;13;52;2;2;5.25
G2;14;52;3;1;6
G2;15;50;3;1.25;4
G2;16;54;3;1;5
G2;17;47;2;1;4
G2;18;47;2;1;4
G2;19;39;2;1;5.5
G2;20;43;2;1;3
G3;9;5;2;2;2
G3;10;6;3;1.25;4.75
G3;11;6;3.5;2.25;4
G3;12;8;2.5;2;3.25
G3;13;9;1;1;2
G3;14;8;2.5;1.75;3.25
G3;15;8;2;1.75;2.25
G3;16;7;2;1;2.5
G3;17;7;1;1;3.5
G4;12;6;1.5;1;2
G4;13;8;1.5;1;3.25
G4;14;5;2;1;2
G4;15;7;3;1.5;3.5
G4;16;7;3;1.5;5
G4;17;7;2;1.5;2.5
G4;18;6;2;1.25;2.75
G6;9;12;1.5;1;2
G6;10;19;1;1;3.5
G6;11;22;1;1;2.75
G6;12;29;2;1;3
G6;13;35;1;1;3
G6;14;31;2;1;2
G6;15;35;2;1;2.5
G6;16;29;2;1;3
G6;17;35;1;1;2
G6;18;24;2;1;3
G6;19;22;2;1;3
G6;20;12;1.5;1;4
G7;9;114;9;4;16.75
G7;10;120;9;5;15
G7;11;117;8;4;17
G7;12;122;7;4;14.75
G7;13;121;7;3;17
G7;14;118;6;2.25;16.75
G7;15;117;7;3;15
G7;16;115;7;3;19
G7;17;112;4;3;12.25
G7;18;119;5;3;17
G7;19;120;7;4;18.25
G7;20;117;11;4;16
G8;10;8;12.5;3.75;17.25
G8;11;13;7;4;9
G8;12;13;7;4;10
G8;13;13;8;6;19
G8;14;11;7;2.5;12
G8;15;12;10.5;5.5;17
G8;16;13;9;6;20
G8;17;9;8;7;11
G8;18;13;7;5;13
G8;19;12;8.5;2.75;17
G8;20;9;7;4;9
G9;9;196;78;47.75;120.25
G9;10;195;67;46;110.5
G9;11;189;66;47;98
G9;12;190;66.5;47;91
G9;13;191;63;45;103
G9;14;187;59;40;94
G9;15;180;61;40.75;104.5
G9;16;174;63;39;101.25
G9;17;159;65;42;104
G9;18;181;58;39;94
G9;19;190;56;39;89
G9;20;193;64;40;93
