groupe;annee;mois;n;mediane;q25;q75
G1;2022;5;34;42.5;29.25;90.5
G1;2022;6;274;68.5;44;98.75
G1;2022;7;163;33;22.5;43.5
G1;2022;8;370;21;14;29
G1;2022;9;91;17;13;22.5
G1;2023;7;119;31;23;43
G2;2022;9;16;2;1;3.25
G2;2023;5;191;2;1;3
G2;2023;6;262;3;2;6
G2;2023;7;101;1;1;3
G2;2023;8;7;1;1;1.5
G3;2024;7;12;2;2;3
G3;2024;8;57;2;1;3
G4;2022;4;33;2;1;4
G4;2022;5;23;2;1;3
G5;2022;7;17;4;1;11
G6;2023;8;5;1;1;1
G6;2024;4;17;2;1;2
G6;2024;5;33;1;1;2
G6;2024;6;78;1.5;1;3
G6;2024;7;169;2;1;3
G7;2022;4;52;18;10.75;27
G7;2023;5;311;5;3;8
G7;2023;6;354;11;5.25;18
G7;2023;7;361;17;5;28
G7;2023;8;334;4;2;7
G8;2022;4;10;18;13.75;20
G8;2022;5;110;7;4;11.75
G8;2022;6;9;5;3;6
G9;2023;5;212;58.5;40;94
G9;2023;6;320;52;35.75;84
G9;2023;7;348;67.5;50;113
G9;2023;8;317;60;44;97
G9;2023;9;344;47;33;76
G9;2023;10;366;81;55;126
G9;2023;11;101;50;30;84
G9;2024;4;7;99;86.5;107
G9;2024;5;210;81;61;115.75
