"terme","beta","SE","z","p_value","IC95_inf","IC95_sup","ratio","ratio_IC95_inf","ratio_IC95_sup","modele","reponse","source","vent","version"
"(Intercept)",5.81848955368714,0.521243581178084,11.1627073479476,6.20719958062853e-29,4.7968521345781,6.84012697279618,336.463459632787,121.128520472633,934.607796960928,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"temperature_z",0.0844626152217896,0.119783107417132,0.705129605025667,0.480729584290735,-0.15031227531579,0.319237505759369,1.08813216389199,0.860439240531893,1.3760781125746,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"humidite_z",0.00662824294350201,0.110616685497096,0.0599208240033192,0.952218694537173,-0.210180460630807,0.223436946517811,1.00665025836006,0.810437980623803,1.25036679781023,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"pression_z",-0.233084126843984,0.090134138922004,-2.58596941882009,0.00971055456787675,-0.409747039131112,-0.0564212145568565,0.792086934947308,0.663818148915247,0.945140944910088,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"vent_IC_moyen_z",-0.117783170654655,0.0682614879679644,-1.7254703077954,0.0844427502995718,-0.251575687071866,0.0160093457625548,0.888888768890433,0.77757460303767,1.01613818194789,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"direction_IC_sin",-0.00630432849859224,0.0995487531261993,-0.0633290553684802,0.949504479355437,-0.201419884625943,0.188811227628758,0.993715502085594,0.81756907478864,1.20781292925066,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"direction_IC_cos",-0.122225860435552,0.107996688171757,-1.13175563533176,0.257737184184395,-0.333899369252195,0.0894476483810904,0.884948471081898,0.71612584288048,1.09357008164959,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"pluie",-0.153538140242737,0.193907768821664,-0.791810153743479,0.42847138094347,-0.533597367133199,0.226521086647725,0.857668051907317,0.586491345526401,1.25422905704135,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"saisonete",-0.0115860883457932,0.287284647371816,-0.040329646752052,0.967830318309696,-0.574663997194552,0.551491820502966,0.98848077191039,0.562893970989167,1.73584064991765,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"saisonprintemps",-0.821864348630752,0.31510792392695,-2.60819956029186,0.00910198734441206,-1.43947587952757,-0.20425281773393,0.439611301303781,0.237051969918916,0.815256233897183,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"heure10",0.190474443909476,0.198369341014895,0.960201021664807,0.336954052767075,-0.198329464479717,0.57927835229867,1.20982345488467,0.820099614930381,1.78475000517263,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"heure11",0.0698563089823376,0.206430895548726,0.338400455012552,0.735061431284624,-0.334748246293166,0.474460864257841,1.07235408253377,0.71551819803838,1.60714749321464,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"heure12",0.334648316651067,0.217583495841958,1.53802252030245,0.124043108517849,-0.0918153351991708,0.761111968501305,1.39744883930551,0.912273598813713,2.14065523875265,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"heure13",0.662237090274508,0.229321026190176,2.88781670515164,0.00387925857230076,0.212767878941762,1.11170630160725,1.93912548453339,1.23709746154158,3.03954034476892,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"heure14",0.305235230166102,0.236097337498784,1.29283639281902,0.196067650567972,-0.157515551331514,0.767986011663718,1.35694415966718,0.854263528569847,2.15542088696853,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"heure15",0.215354814411674,0.240795290245386,0.894348116992713,0.371135662803344,-0.256603954469281,0.68731358329263,1.24030189588995,0.773674563450318,1.98836677024474,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"heure16",0.119509870036949,0.242133146366769,0.493570879618119,0.621609270791662,-0.355071096841918,0.594090836915816,1.12694436699486,0.701123593763213,1.81138335323279,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"heure17",-0.297197810600342,0.239727663628268,-1.23973097681872,0.215074915577988,-0.767064031311747,0.172668410111062,0.742897044916112,0.464374457702433,1.18847195445608,"presence_IC_moyen_complet","presence","IC","moyen","complet"
"heure18",0.00593782381223647,0.231911173370852,0.0256038711974487,0.979573298314518,-0.448608075994633,0.460483723619106,1.00595548763229,0.638516299526313,1.5848404243529,"presence_IC_moyen_complet","presence","IC","moyen","complet"
