"version","source","vent","reponse","variable","n","AIC_complet","AIC_sans_variable","Chisq","ddl","p_value"
"complet","IC","moyen","presence","temperature",8455,4980.27639163424,4981.57660762604,7.30021599180236,3,0.062920185646939
"complet","IC","moyen","presence","humidite",8455,4980.27639163424,4978.09014833397,3.81375669973568,3,0.282290045670501
"complet","IC","moyen","presence","pression",8455,4980.27639163424,4985.49586818341,11.2194765491704,3,0.0105963970150939
"complet","IC","moyen","intensite","temperature",5779,44218.1219042727,44221.3323591338,9.21045486104413,3,0.0266197669123716
"complet","IC","moyen","intensite","humidite",5779,44218.1219042727,44249.7127928993,37.5908886265534,3,3.45022584943993e-08
"complet","IC","moyen","intensite","pression",5779,44218.1219042727,44245.8133906776,33.6914864048958,3,2.30169010182272e-07
"complet","IC","rafale_max","presence","temperature",8458,4981.52601004243,4983.10294290125,7.5769328588276,3,0.055614321293202
"complet","IC","rafale_max","presence","humidite",8458,4981.52601004243,4979.09330584404,3.56729580161118,3,0.312138393167149
"complet","IC","rafale_max","presence","pression",8458,4981.52601004243,4986.91142155515,11.3854115127215,3,0.00981433506621804
"complet","IC","rafale_max","intensite","temperature",5781,44229.8917826981,44232.7197716367,8.82798893855943,3,0.0316674829973662
"complet","IC","rafale_max","intensite","humidite",5781,44229.8917826981,44259.3718332705,35.4800505723833,3,9.64489810850215e-08
"complet","IC","rafale_max","intensite","pression",5781,44229.8917826981,44257.6670766603,33.7752939622005,3,2.20982712822293e-07
"complet","MR","moyen","presence","temperature",6130,3510.50683570357,3504.80775368958,0.300917986009154,3,0.959855739546639
"complet","MR","moyen","presence","humidite",6130,3510.50683570357,3504.95833789114,0.451502187569531,3,0.929409405986965
"complet","MR","moyen","presence","pression",6130,3510.50683570357,3522.35431796244,17.8474822588669,3,0.000472882574490576
"complet","MR","moyen","intensite","temperature",4346,34077.8207262658,34086.1895868996,14.3688606338037,3,0.00244373540021212
"complet","MR","moyen","intensite","humidite",4346,34077.8207262658,34115.9412076819,44.1204814161611,3,1.42281365863513e-09
"complet","MR","moyen","intensite","pression",4346,34077.8207262658,34098.1422693821,26.3215431163044,3,8.1675778399321e-06
"complet","MR","rafale_max","presence","temperature",6130,3510.50660657986,3504.731353762,0.22474718214562,3,0.973498717357615
"complet","MR","rafale_max","presence","humidite",6130,3510.50660657986,3505.17677995175,0.670173371895544,3,0.880196022870497
"complet","MR","rafale_max","presence","pression",6130,3510.50660657986,3521.24904889297,16.7424423131179,3,0.000798381773861872
"complet","MR","rafale_max","intensite","temperature",4346,34071.3221875026,34079.1571856067,13.834998104081,3,0.00313857268868164
"complet","MR","rafale_max","intensite","humidite",4346,34071.3221875026,34106.951254724,41.6290672213945,3,4.80929576507863e-09
"complet","MR","rafale_max","intensite","pression",4346,34071.3221875026,34090.606251694,25.2840641913936,3,1.34665343323188e-05
"sans_2202_2024","IC","moyen","presence","temperature",6746,3447.87720650341,3446.93353627328,5.05632976987908,3,0.167718566567833
"sans_2202_2024","IC","moyen","presence","humidite",6746,3447.87720650341,3442.78415919665,0.906952693243511,3,0.823749648139795
"sans_2202_2024","IC","moyen","presence","pression",6746,3447.87720650341,3446.48360797781,4.60640147439972,3,0.202993618101579
"sans_2202_2024","IC","moyen","intensite","temperature",5417,43058.5581359299,43061.3673795096,8.80924357975164,3,0.0319376094186305
"sans_2202_2024","IC","moyen","intensite","humidite",5417,43058.5581359299,43086.9052617467,34.347125816792,3,1.67353560013435e-07
"sans_2202_2024","IC","moyen","intensite","pression",5417,43058.5581359299,43082.2040107522,29.645874822294,3,1.63822479193906e-06
"sans_2202_2024","IC","rafale_max","presence","temperature",6749,3448.2802550862,3447.29980484842,5.01954976221532,3,0.17037119912398
"sans_2202_2024","IC","rafale_max","presence","humidite",6749,3448.2802550862,3443.2874592335,1.0072041472913,3,0.799508771673783
"sans_2202_2024","IC","rafale_max","presence","pression",6749,3448.2802550862,3446.63699563892,4.35674055271193,3,0.225430218436431
"sans_2202_2024","IC","rafale_max","intensite","temperature",5419,43070.0762541828,43072.6270134273,8.55075924447738,3,0.0359003387151509
"sans_2202_2024","IC","rafale_max","intensite","humidite",5419,43070.0762541828,43096.274794877,32.198540694204,3,4.75273092132646e-07
"sans_2202_2024","IC","rafale_max","intensite","pression",5419,43070.0762541828,43093.8508579159,29.7746037330653,3,1.53922994684642e-06
"sans_2202_2024","MR","moyen","presence","temperature",5303,2839.04900132155,2835.31390315812,2.26490183656824,3,0.519278108661758
"sans_2202_2024","MR","moyen","presence","humidite",5303,2839.04900132155,2834.21695510796,1.1679537864029,3,0.760700125783865
"sans_2202_2024","MR","moyen","presence","pression",5303,2839.04900132155,2842.42321548903,9.37421416747839,3,0.024707856807899
"sans_2202_2024","MR","moyen","intensite","temperature",4234,33776.8781480324,33784.7564464856,13.8782984532518,3,0.00307557786974446
"sans_2202_2024","MR","moyen","intensite","humidite",4234,33776.8781480324,33814.7723834102,43.8942353778839,3,1.58930748774749e-09
"sans_2202_2024","MR","moyen","intensite","pression",4234,33776.8781480324,33794.2988309333,23.4206829009127,3,3.29976199008275e-05
"sans_2202_2024","MR","rafale_max","presence","temperature",5303,2837.83572714866,2834.20557576717,2.36984861850988,3,0.499271969978629
"sans_2202_2024","MR","rafale_max","presence","humidite",5303,2837.83572714866,2833.24620423557,1.41047708691076,3,0.703080691953033
"sans_2202_2024","MR","rafale_max","presence","pression",5303,2837.83572714866,2840.96254808652,9.12682093786134,3,0.0276513991065265
"sans_2202_2024","MR","rafale_max","intensite","temperature",4234,33769.9843852458,33777.4552465145,13.4708612686154,3,0.00372148096655757
"sans_2202_2024","MR","rafale_max","intensite","humidite",4234,33769.9843852458,33805.4739421041,41.4895568582215,3,5.14848692299713e-09
"sans_2202_2024","MR","rafale_max","intensite","pression",4234,33769.9843852458,33786.3237403983,22.339355152435,3,5.54399946936676e-05
