variable_1;variable_2;n_complet;rho_complet;p_complet;n_sans_2202_2024;rho_sans_2202_2024;p_sans_2202_2024;rho_absolu_max
vent_moyen_IC_30min;rafales_IC_max_30min;8775;0.8933897248480763;0.0;7062;0.8979489376024671;0.0;0.8979489376024671
vent_moyen_MR_30min;rafales_MR_max_30min;6182;0.782395148675608;0.0;5355;0.7786515774694968;0.0;0.782395148675608
temperature_moy_30min;humidite_moy_30min;8778;-0.6731990114823485;0.0;7065;-0.6857140902067471;0.0;0.6857140902067471
rafales_IC_max_30min;vent_moyen_MR_30min;6140;0.6816870331189714;0.0;5313;0.6809092999110646;0.0;0.6816870331189714
vent_moyen_IC_30min;vent_moyen_MR_30min;6137;0.5952457913359724;0.0;5310;0.596667783789368;0.0;0.596667783789368
rafales_IC_max_30min;rafales_MR_max_30min;6140;0.4912262224869897;0.0;5313;0.48311888834474304;6.632694774266265e-309;0.4912262224869897
vent_moyen_IC_30min;rafales_MR_max_30min;6137;0.38826535813784546;5.433424237854264e-220;5310;0.3817250304976315;8.557686929968271e-184;0.38826535813784546
humidite_moy_30min;rafales_MR_max_30min;6182;-0.24511066115053584;2.9370876865629136e-85;5355;-0.2581326743708351;2.955704382223837e-82;0.2581326743708351
humidite_moy_30min;pression_moy_30min;8778;-0.20022901635979065;4.485248507520426e-80;7065;-0.1611429287402423;2.6049130391996217e-42;0.20022901635979065
pression_moy_30min;rafales_MR_max_30min;6140;-0.14481962049755637;3.9179376458652246e-30;5313;-0.18300565750568254;3.0812636806249674e-41;0.18300565750568254
pression_moy_30min;vent_moyen_MR_30min;6140;-0.1471739152434278;4.466300371125476e-31;5313;-0.17768776746709;6.136126853360026e-39;0.17768776746709
temperature_moy_30min;vent_moyen_MR_30min;6140;-0.1440056962868691;8.231348683981987e-30;5313;-0.13709506190613355;1.0377662541011498e-23;0.1440056962868691
humidite_moy_30min;vent_moyen_MR_30min;6182;-0.11391644045054174;2.606078650540171e-19;5355;-0.12281901152530741;1.886037478172082e-19;0.12281901152530741
pression_moy_30min;rafales_IC_max_30min;8778;-0.10078431237205109;2.9259567618052124e-21;7065;-0.12236347976682638;5.600037452354545e-25;0.12236347976682638
temperature_moy_30min;rafales_IC_max_30min;8778;-0.096106674807667;1.814427710128357e-19;7065;-0.07504862482049714;2.6860151495315486e-10;0.096106674807667
temperature_moy_30min;vent_moyen_IC_30min;8775;-0.0735919817131443;5.123769650436712e-12;7062;-0.0784465599683351;4.0751433596074526e-11;0.0784465599683351
pression_moy_30min;vent_moyen_IC_30min;8775;-0.03240308788152991;0.002399597294808167;7062;-0.05318631757180557;7.751906241573413e-06;0.05318631757180557
humidite_moy_30min;rafales_IC_max_30min;8778;-0.03710864910775892;0.000506210706329512;7065;-0.05196081935596789;1.244341146474483e-05;0.05196081935596789
humidite_moy_30min;vent_moyen_IC_30min;8775;-0.0376936432955715;0.00041289298328775384;7062;-0.026733493764532185;0.024667403466967663;0.0376936432955715
temperature_moy_30min;pression_moy_30min;8778;-0.007926886985072214;0.4577337470682169;7065;-0.03169137725505245;0.007722429914245018;0.03169137725505245
temperature_moy_30min;rafales_MR_max_30min;6140;0.008842989288871766;0.48843961391085866;5313;0.030124309393998093;0.028109667672035824;0.030124309393998093
