"modele","reponse","source","vent","version","uniformite_D","uniformite_p","dispersion","dispersion_p","outliers_p"
"presence_IC_moyen_complet","presence","IC","moyen","complet",0.00973647660404742,0.399284035964998,1.06169575214586,0,0.3872928155445
"intensite_IC_moyen_complet","intensite","IC","moyen","complet",0.0241059265373157,0.00242201157431027,1.0295012756577,0.432,0.776
"presence_IC_rafale_max_complet","presence","IC","rafale_max","complet",0.00646775977359193,0.871062621925071,1.06157331370104,0.004,0.489355939295152
"intensite_IC_rafale_max_complet","intensite","IC","rafale_max","complet",0.0234809524988117,0.00340803009161367,1.03295712284614,0.38,0.728
"presence_MR_moyen_complet","presence","MR","moyen","complet",0.00972829632098504,0.607559559843506,1.07285213114559,0.02,0.919060836746706
"intensite_MR_moyen_complet","intensite","MR","moyen","complet",0.023478441112189,0.0166024150657935,1.01182914437121,0.788,0.528
"presence_MR_rafale_max_complet","presence","MR","rafale_max","complet",0.00948818446805499,0.639178381169101,1.07338329512571,0.016,0.919060836746706
"intensite_MR_rafale_max_complet","intensite","MR","rafale_max","complet",0.0221731868382787,0.0278679167304654,1.01081977869675,0.792,0.664
"presence_IC_moyen_sans_2202_2024","presence","IC","moyen","sans_2202_2024",0.0234155171104781,0.00122558930043665,1.08170757978832,0.004,0.438376563584914
"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024",0.0244063660976224,0.00315001125498825,1.03127571503563,0.456,0.624
"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024",0.0164246258803054,0.052433801432307,1.0817924179771,0.004,0.0531973469388047
"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024",0.024721571162551,0.00265698721269929,1.02947594977766,0.472,0.632
"presence_MR_moyen_sans_2202_2024","presence","MR","moyen","sans_2202_2024",0.0126708304776947,0.362151633864059,1.07614644955058,0.008,0.585308797051015
"intensite_MR_moyen_sans_2202_2024","intensite","MR","moyen","sans_2202_2024",0.0223351624929519,0.0292698278131946,1.00963571322276,0.764,0.392
"presence_MR_rafale_max_sans_2202_2024","presence","MR","rafale_max","sans_2202_2024",0.0122489596942388,0.403887142064121,1.07664334565131,0.004,0.444570526506858
"intensite_MR_rafale_max_sans_2202_2024","intensite","MR","rafale_max","sans_2202_2024",0.0220160632832019,0.0329964088562821,1.0077567190893,0.856,0.408
