"modele";"reponse";"source";"vent";"version";"variable";"unite";"n";"breakpoint";"IC95_inf";"IC95_sup";"AIC_lineaire";"AIC_breakpoint";"AIC_spline";"delta_AIC_bp_vs_lineaire";"delta_AIC_bp_vs_spline";"breakpoint_retenu";"meilleur_modele"
"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature";"°C";8455;19,3047619047619;17,0666666666667;22,5;4982,46891064645;4980,62817195014;4981,48882654676;-1,84073869630902;-0,860654596618588;FALSE;"equivalent"
"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite";"%";8455;48,7500000000001;44,7500000000001;92,2500000000004;4982,46891064645;4982,80432762695;4984,26055380958;0,335416980497939;-1,45622618263224;FALSE;"equivalent"
"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression";"hPa";8455;1027,59523809524;1025,13333333333;1028,36666666666;4982,46891064645;4977,50180470628;4979,91774397938;-4,9671059401735;-2,4159392731035;TRUE;"breakpoint"
"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent";"m/s";8455;14,2095238095239;10,1000000000001;18,6;4982,46891064645;4980,61687568684;4982,09370983046;-1,85203495960559;-1,47683414361563;FALSE;"equivalent"
"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature";"°C";5779;19,3503401360544;18,6380952380952;20,3;44274,4748681959;44259,297165825;44263,7500984297;-15,1777023709001;-4,45293260469771;TRUE;"breakpoint"
"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite";"%";5779;69,0714285714286;63,4714285714285;75,7500000000001;44274,4748681959;44254,6354895175;44253,3827574852;-19,8393786783636;1,25273203234246;TRUE;"equivalent"
"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"pression";"hPa";5779;1024,62142857143;1023,90476190477;1025,13333333334;44274,4748681959;44247,7771691075;44244,7382653442;-26,6976990884505;3,0389037632558;TRUE;"spline"
"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"vent";"m/s";5779;7,06666666666672;7,06666666666672;25,6666666666667;44274,4748681959;44277,7169809581;44278,2485822753;3,24211276220012;-0,531601317197783;FALSE;"equivalent"
"presence_IC_rafale_max_complet";"presence";"IC";"rafale_max";"complet";"temperature";"°C";8458;19,3047619047619;17,0666666666666;22,5;4984,07041352276;4981,6887253578;4982,6389132755;-2,38168816495636;-0,950187917696894;TRUE;"equivalent"
"presence_IC_rafale_max_complet";"presence";"IC";"rafale_max";"complet";"humidite";"%";8458;48,7500000000001;44,7500000000001;92,2500000000002;4984,07041352276;4984,72486321217;4986,17111884827;0,654449689407556;-1,44625563610316;FALSE;"equivalent"
"presence_IC_rafale_max_complet";"presence";"IC";"rafale_max";"complet";"pression";"hPa";8458;1027,59523809524;1025,13333333334;1028,36666666667;4984,07041352276;4978,971050153;4981,26588977475;-5,09936336976443;-2,29483962175436;TRUE;"breakpoint"
"presence_IC_rafale_max_complet";"presence";"IC";"rafale_max";"complet";"vent";"m/s";8458;32,7214285714285;16,8;44,3999999999998;4984,07041352276;4986,62811559534;4987,29225074063;2,55770207258229;-0,664135145288128;FALSE;"equivalent"
"intensite_IC_rafale_max_complet";"intensite";"IC";"rafale_max";"complet";"temperature";"°C";5781;19,3585034013606;18,652380952381;20,3;44285,2868811026;44270,9482070805;44275,2509294355;-14,3386740220521;-4,30272235495067;TRUE;"breakpoint"
"intensite_IC_rafale_max_complet";"intensite";"IC";"rafale_max";"complet";"humidite";"%";5781;69,0714285714284;63,4999999999999;75,7499999999999;44285,2868811026;44265,6180200929;44264,7661016506;-19,6688610096899;0,85191844230576;TRUE;"equivalent"
"intensite_IC_rafale_max_complet";"intensite";"IC";"rafale_max";"complet";"pression";"hPa";5781;1024,62142857143;1023,90476190476;1025,13333333333;44285,2868811026;44257,7808432749;44255,2068175504;-27,5060378277194;2,57402572447609;TRUE;"spline"
"intensite_IC_rafale_max_complet";"intensite";"IC";"rafale_max";"complet";"vent";"m/s";5781;35,9;24,8;44,4;44285,2868811026;44283,9905971605;44284,524285011;-1,29628394212341;-0,533687850525894;FALSE;"equivalent"
"presence_MR_moyen_complet";"presence";"MR";"moyen";"complet";"temperature";"°C";6130;23,4666666666667;15;27,9666666666667;3510,10936857171;3513,31215292236;3513,65770291075;3,20278435064665;-0,345549988393032;FALSE;"equivalent"
"presence_MR_moyen_complet";"presence";"MR";"moyen";"complet";"humidite";"%";6130;48,6607142857145;46,2500000000003;93,7499999999999;3510,10936857171;3512,80919429547;3513,93580046661;2,69982572376193;-1,12660617113806;FALSE;"equivalent"
"presence_MR_moyen_complet";"presence";"MR";"moyen";"complet";"pression";"hPa";6130;1027,79523809524;1026,53333333333;1028,3;3510,10936857171;3500,14571587461;3502,91171036964;-9,96365269710077;-2,76599449503055;TRUE;"breakpoint"
"presence_MR_moyen_complet";"presence";"MR";"moyen";"complet";"vent";"m/s";6130;4,10168571428571;1,584;4,57199999999999;3510,10936857171;3510,52406646719;3511,99745857819;0,414697895481368;-1,4733921109987;FALSE;"equivalent"
"intensite_MR_moyen_complet";"intensite";"MR";"moyen";"complet";"temperature";"°C";4346;19,3969387755102;19,0785714285714;21,3;34130,6686487092;34111,6565333511;34116,5547538487;-19,0121153581204;-4,89822049762006;TRUE;"breakpoint"
"intensite_MR_moyen_complet";"intensite";"MR";"moyen";"complet";"humidite";"%";4346;66,9642857142859;62,2500000000002;71,5000000000002;34130,6686487092;34101,9143197152;34108,8383245563;-28,7543289940149;-6,92400484111567;TRUE;"breakpoint"
"intensite_MR_moyen_complet";"intensite";"MR";"moyen";"complet";"pression";"hPa";4346;1029,56666666667;1024,26666666667;1029,56666666667;34130,6686487092;34109,319430845;34108,0617971512;-21,3492178641754;1,25763369382912;TRUE;"equivalent"
"intensite_MR_moyen_complet";"intensite";"MR";"moyen";"complet";"vent";"m/s";4346;4,554;3,492;4,554;34130,6686487092;34130,1957087714;34129,508475513;-0,472939937833871;0,687233258366177;FALSE;"equivalent"
"presence_MR_rafale_max_complet";"presence";"MR";"rafale_max";"complet";"temperature";"°C";6130;19;15;27,9666666666667;3510,29977658882;3513,31609359586;3513,67763945418;3,01631700703729;-0,361545858322643;FALSE;"equivalent"
"presence_MR_rafale_max_complet";"presence";"MR";"rafale_max";"complet";"humidite";"%";6130;48,6607142857145;46,2500000000003;93,7499999999999;3510,29977658882;3513,00651704915;3514,06655347756;2,70674046033218;-1,06003642840778;FALSE;"equivalent"
"presence_MR_rafale_max_complet";"presence";"MR";"rafale_max";"complet";"pression";"hPa";6130;1027,79523809524;1026,53333333333;1028,3;3510,29977658882;3500,23203853951;3503,01324040251;-10,0677380493071;-2,78120186299702;TRUE;"breakpoint"
"presence_MR_rafale_max_complet";"presence";"MR";"rafale_max";"complet";"vent";"m/s";6130;7,76057142857142;4,35600000000001;12,888;3510,29977658882;3513,64607560033;3514,08157366684;3,34629901150765;-0,435498066512537;FALSE;"equivalent"
"intensite_MR_rafale_max_complet";"intensite";"MR";"rafale_max";"complet";"temperature";"°C";4346;19,7153061224489;19,0785714285714;21,3;34124,4356482818;34105,4264368763;34110,2508802814;-19,009211405486;-4,82444340508664;TRUE;"breakpoint"
"intensite_MR_rafale_max_complet";"intensite";"MR";"rafale_max";"complet";"humidite";"%";4346;66,107142857143;62,2500000000002;71,5000000000002;34124,4356482818;34093,7246085989;34101,1172278196;-30,7110396829448;-7,39261922075093;TRUE;"breakpoint"
