"psi_z";"psi";"n_gauche";"n_droite";"logLik";"AIC";"modele";"reponse";"source";"vent";"version";"variable"
-1,29035240921531;15,6666666666667;850;7605;-2460,32334908855;4984,6466981771;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-1,00637281898119;17,0666666666667;1336;7119;-2459,17310056892;4982,34620113784;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,803530254528242;18,0666666666667;1814;6641;-2458,60990588851;4981,21981177702;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,778416413215021;18,1904761904762;1857;6598;-2458,55696837914;4981,11393675829;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,753302571901799;18,3142857142857;1937;6518;-2458,53846384402;4981,07692768803;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,728188730588577;18,4380952380953;2005;6450;-2458,52971454987;4981,05942909973;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,703074889275355;18,5619047619048;2057;6398;-2458,50729868893;4981,01459737786;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,677961047962134;18,6857142857143;2124;6331;-2458,48154616386;4980,96309232772;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,652847206648912;18,8095238095238;2178;6277;-2458,45178891829;4980,90357783658;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,62773336533569;18,9333333333334;2258;6197;-2458,40382501913;4980,80765003826;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,614210527705493;19;2296;6159;-2458,37499683064;4980,74999366128;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,602619524022469;19,0571428571429;2316;6139;-2458,35163721979;4980,70327443959;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,577505682709247;19,1809523809524;2372;6083;-2458,33301901108;4980,66603802217;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,552391841396025;19,3047619047619;2464;5991;-2458,31408597507;4980,62817195014;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,527278000082803;19,4285714285714;2515;5940;-2458,34936741529;4980,69873483057;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,502164158769582;19,552380952381;2604;5851;-2458,4065884111;4980,8131768222;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,47705031745636;19,6761904761905;2687;5768;-2458,4541372986;4980,9082745972;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,451936476143138;19,8;2788;5667;-2458,5021995064;4981,00439901281;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,309946681026078;20,5;3274;5181;-2458,80366140466;4981,60732280931;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,161195467093919;21,2333333333333;3748;4707;-2459,37522444952;4982,75044889903;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-0,0361092190146023;21,85;4230;4225;-2459,73713271909;4983,47426543819;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
0,0957384478798113;22,5;4716;3739;-2460,15172963221;4984,30345926442;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
0,224205405366677;23,1333333333333;5200;3255;-2460,32858492992;4984,65716985983;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
0,372956619298835;23,8666666666666;5680;2775;-2460,50744716775;4985,01489433551;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
0,562276346121584;24,8;6164;2291;-2460,92728075518;4985,85456151035;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
0,771880329389626;25,8333333333333;6655;1800;-2461,06823655601;4986,13647311201;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
1,01529140673316;27,0333333333333;7135;1320;-2461,17395126147;4986,34790252294;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
1,28980501062615;28,3866666666666;7609;846;-2461,22874827119;4986,45749654237;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"temperature"
-1,28773108093227;44,7500000000001;851;7604;-2460,33468414927;4984,66936829854;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,25673816049616;45,3035714285715;921;7534;-2460,24589901955;4984,4917980391;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,22574524006004;45,857142857143;992;7463;-2460,08947379135;4984,1789475827;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,19475231962392;46,4107142857144;1048;7407;-2459,89698631004;4983,79397262008;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,1637593991878;46,9642857142858;1099;7356;-2459,73034773186;4983,46069546373;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,13276647875168;47,5178571428573;1171;7284;-2459,58140919462;4983,16281838923;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,10177355831556;48,0714285714287;1229;7226;-2459,46440484651;4982,92880969302;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,07078063787944;48,6250000000001;1296;7159;-2459,40597020821;4982,81194041641;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,06378223649064;48,7500000000001;1330;7125;-2459,40216381347;4982,80432762695;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,03978771744332;49,1785714285716;1359;7096;-2459,40322305904;4982,80644611807;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,0087947970072;49,732142857143;1432;7023;-2459,42413048117;4982,84826096235;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-0,977801876571084;50,2857142857144;1510;6945;-2459,46120781055;4982,9224156211;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
