"modele";"seuil_haut";"logLik";"AIC_2BP"
"intensite_IC_moyen_complet";23,4666666666667;-22096,2897614356;44262,5795228711
"intensite_IC_moyen_complet";24,2767142857143;-22096,3566746792;44262,7133493585
"intensite_IC_moyen_complet";25,0867619047619;-22096,3860123857;44262,7720247714
"intensite_IC_moyen_complet";25,2024829931973;-22096,3530668732;44262,7061337464
"intensite_IC_moyen_complet";25,3182040816327;-22096,3137313842;44262,6274627684
"intensite_IC_moyen_complet";25,433925170068;-22096,2665547235;44262,5331094471
"intensite_IC_moyen_complet";25,5496462585034;-22096,2106452932;44262,4212905865
"intensite_IC_moyen_complet";25,6653673469388;-22096,1767017154;44262,3534034308
"intensite_IC_moyen_complet";25,7810884353742;-22096,1676001561;44262,3352003122
"intensite_IC_moyen_complet";25,8968095238095;-22096,1509218797;44262,3018437594
"intensite_IC_moyen_complet";26,0125306122449;-22096,1351859205;44262,270371841
"intensite_IC_moyen_complet";26,1282517006803;-22096,1333065389;44262,2666130777
"intensite_IC_moyen_complet";26,2439727891157;-22096,1460385335;44262,2920770671
"intensite_IC_moyen_complet";26,359693877551;-22096,1503783142;44262,3007566284
"intensite_IC_moyen_complet";26,4754149659864;-22096,1555800254;44262,3111600507
"intensite_IC_moyen_complet";26,5911360544218;-22096,1818083391;44262,3636166782
"intensite_IC_moyen_complet";26,7068571428571;-22096,2069088081;44262,4138176162
"intensite_IC_moyen_complet";27,5169047619048;-22096,2548710978;44262,5097421956
"intensite_IC_moyen_complet";28,3269523809524;-22096,3333489822;44262,6666979643
"intensite_IC_moyen_complet";29,137;-22096,3452001688;44262,6904003376
"intensite_IC_moyen_complet";29,9470476190476;-22096,3871673724;44262,7743347447
"intensite_IC_moyen_complet";30,7570952380952;-22096,411986092;44262,8239721841
"intensite_IC_moyen_complet";31,5671428571429;-22096,4350593228;44262,8701186457
"intensite_IC_moyen_complet";32,3771904761905;-22096,4392009533;44262,8784019067
"intensite_IC_moyen_complet";33,1872380952381;-22096,6041830369;44263,2083660738
"intensite_IC_moyen_complet";33,9972857142857;-22096,6350518943;44263,2701037886
"intensite_IC_moyen_complet";34,8073333333333;-22096,6001862285;44263,200372457
"intensite_IC_rafale_max_complet";23,4666666666667;-22102,1715381639;44274,3430763278
"intensite_IC_rafale_max_complet";24,2766666666667;-22102,2370981806;44274,4741963612
"intensite_IC_rafale_max_complet";25,0866666666667;-22102,2651557002;44274,5303114004
"intensite_IC_rafale_max_complet";25,202380952381;-22102,2357884354;44274,4715768709
