source;jeu_donnees;variable;n;VIF
IC;complet;temperature_moy_30min;8775;2.0392623231405653
IC;complet;humidite_moy_30min;8775;2.131738028544905
IC;complet;pression_moy_30min;8775;1.2043787890435564
IC;complet;vent_moyen_IC_30min;8775;4.915647326293208
IC;complet;rafales_IC_max_30min;8775;5.218654183339186
IC;sans_2202_2024;temperature_moy_30min;7062;2.112880998985034
IC;sans_2202_2024;humidite_moy_30min;7062;2.2074669184412756
IC;sans_2202_2024;pression_moy_30min;7062;1.231859608507712
IC;sans_2202_2024;vent_moyen_IC_30min;7062;5.171571399766724
IC;sans_2202_2024;rafales_IC_max_30min;7062;5.553238965296994
MR;complet;temperature_moy_30min;6140;1.9823519416364783
MR;complet;humidite_moy_30min;6140;2.2231019501632496
MR;complet;pression_moy_30min;6140;1.2068798536212242
MR;complet;vent_moyen_MR_30min;6140;2.4795274026497167
MR;complet;rafales_MR_max_30min;6140;2.4916732163826367
MR;sans_2202_2024;temperature_moy_30min;5313;2.0205644590656937
MR;sans_2202_2024;humidite_moy_30min;5313;2.2363661351732933
MR;sans_2202_2024;pression_moy_30min;5313;1.217617674107081
MR;sans_2202_2024;vent_moyen_MR_30min;5313;2.4803091745163353
MR;sans_2202_2024;rafales_MR_max_30min;5313;2.4738940973740218
