"source";"version";"reponse";"classe";"beta";"SE";"ratio";"IC95_inf";"IC95_sup";"p_value"
"IC";"complet";"presence";"courante";-0,163799378340185;0,199689531741453;0,848912314995064;0,57396270390237;1,25557307757206;0,412062072890414
"IC";"complet";"presence";"forte";-0,00326874339760683;0,694491761638791;0,996736593127932;0,255515400248499;3,88815638945469;0,996244634702791
"IC";"complet";"presence";"tres_forte";-0,642772710113455;0,727018898659865;0,525832420025475;0,12647258021711;2,18624253158425;0,376630872549838
"IC";"complet";"intensite";"courante";-0,0322551135265134;0,0347472863793621;0,968259534463526;0,904511920770531;1,03649991177658;0,353263800530495
"IC";"complet";"intensite";"forte";-0,264218355185899;0,109008443114936;0,767805866958457;0,62009976432182;0,950695167543839;0,015357629728401
"IC";"complet";"intensite";"tres_forte";-0,0766051972741632;0,0999245013849731;0,926255469612873;0,761506005713909;1,1266479693531;0,443301076492213
"IC";"sans_2202_2024";"presence";"courante";0,233445925293398;0,242191125675673;1,26294453268935;0,785646226779649;2,03021263042007;0,335100413018394
"IC";"sans_2202_2024";"presence";"forte";0,943897507109095;1,18959864538974;2,56997843316955;0,249644883271152;26,4567375081459;0,427510567422199
"IC";"sans_2202_2024";"presence";"tres_forte";-0,413928928848874;0,805575326916872;0,661047931033848;0,136305502633898;3,20591875368248;0,607370713756298
"IC";"sans_2202_2024";"intensite";"courante";-0,0304905984909956;0,0347232892355091;0,969969551201813;0,906151973901936;1,03828160987979;0,379888230720189
"IC";"sans_2202_2024";"intensite";"forte";-0,259074083980478;0,109404087969542;0,77176584543993;0,62281478708022;0,956339721765298;0,0178822368157088
"IC";"sans_2202_2024";"intensite";"tres_forte";-0,0761459592548206;0,0997072675229995;0,926680939028531;0,762180249323458;1,12668566723036;0,445048915981564
"MR";"complet";"presence";"courante";-0,164518617006721;0,214860424762308;0,848301963953967;0,556746616809679;1,29253811396604;0,44385485541809
"MR";"complet";"presence";"forte";0,264218053186267;0,869046075801339;1,30241216046155;0,237138183412079;7,1531181158222;0,761103304448581
"MR";"complet";"presence";"tres_forte";-0,674853092392506;0,777403674790104;0,509231225053677;0,110962353264018;2,3369767578078;0,385347363071344
"MR";"complet";"intensite";"courante";-0,0459179027069159;0,0379109204075377;0,955120371769155;0,886722403548115;1,02879426629819;0,225816782725648
"MR";"complet";"intensite";"forte";-0,272462135591863;0,114037888475372;0,761502262461787;0,608976014561952;0,95223076421416;0,0168839741566913
"MR";"complet";"intensite";"tres_forte";-0,0557444099837172;0,109975942965103;0,945780837140432;0,76238983609161;1,17328609269992;0,612240270011328
"MR";"sans_2202_2024";"presence";"courante";0,21150544159599;0,250391376817272;1,2355366889019;0,756341975175173;2,01833424525872;0,398278703857835
"MR";"sans_2202_2024";"presence";"forte";0,953457587698542;1,1933486483251;2,59466545102137;0,250197227281616;26,9079273014734;0,424304008686576
"MR";"sans_2202_2024";"presence";"tres_forte";-0,46322266419327;0,831297028077892;0,629252504906674;0,123370304683913;3,20951395836956;0,577371099452956
"MR";"sans_2202_2024";"intensite";"courante";-0,0461380041504029;0,037928343512953;0,954910171530162;0,886496982387578;1,02860297757122;0,223812837395102
"MR";"sans_2202_2024";"intensite";"forte";-0,27520944001677;0,114030432195874;0,75941305508494;0,607314143548841;0,949604408788256;0,0158012716715737
"MR";"sans_2202_2024";"intensite";"tres_forte";-0,0573129054262885;0,109980970749457;0,944298546994267;0,761187467299068;1,17145878533643;0,602285573737069
