"source";"version";"reponse";"terme";"beta";"SE";"ratio";"IC95_inf";"IC95_sup";"p_value"
"IC";"complet";"presence";"pluie_oui";-0,145252430906126;0,197001141767875;0,864803962307353;0,587796388700829;1,27235537270908;0,460929164204019
"IC";"complet";"presence";"pluie_log_c";-0,112584131869374;0,29318064473383;0,893522170255665;0,502973298116126;1,58732455923349;0,700971459252651
"IC";"complet";"intensite";"pluie_oui";0,0134018925830167;0,0333179810675501;1,01349210048047;0,949422522461372;1,08188526544893;0,687505907643545
"IC";"complet";"intensite";"pluie_log_c";-0,0185815308286748;0,0442520562366195;0,981590041479752;0,900040460054266;1,07052855098773;0,674556982090257
"IC";"sans_2202_2024";"presence";"pluie_oui";0,249018799999895;0,239431508650836;1,28276614884659;0,802304588580862;2,05095298724053;0,29832043688122
"IC";"sans_2202_2024";"presence";"pluie_log_c";-0,113774153833641;0,345610165801236;0,892459491678334;0,453314071661841;1,75702453128546;0,742006081615183
"IC";"sans_2202_2024";"intensite";"pluie_oui";0,0148790143573492;0,033305688024951;1,01499025793831;0,950848881242241;1,08345841703442;0,655062118851706
"IC";"sans_2202_2024";"intensite";"pluie_log_c";-0,0193733653535734;0,0442001433666264;0,980813092243822;0,899419569621956;1,06957237134748;0,661161569404997
"MR";"complet";"presence";"pluie_oui";-0,139758186271079;0,212721304423859;0,869568483574899;0,573101784912759;1,31939799793479;0,511180042097728
"MR";"complet";"presence";"pluie_log_c";-0,0928587982256829;0,312360675429876;0,911322171519217;0,494066220062592;1,6809651552322;0,766252220063053
"MR";"complet";"intensite";"pluie_oui";0,00456238102358235;0,0361713260005955;1,00457280452986;0,935818793497428;1,07837812898524;0,899627014343116
"MR";"complet";"intensite";"pluie_log_c";-0,00345743982496715;0,0469666039326583;0,996548530237745;0,908907469665773;1,09264034707977;0,94131684916342
"MR";"sans_2202_2024";"presence";"pluie_oui";0,243518714286101;0,247575794268696;1,27573019199707;0,785268295032667;2,07252417176116;0,325305940930602
"MR";"sans_2202_2024";"presence";"pluie_log_c";-0,144092525232524;0,346632296139165;0,865807635300259;0,438896425886239;1,7079721253837;0,67763486227111
"MR";"sans_2202_2024";"intensite";"pluie_oui";0,00336634038232323;0,0361976581258563;1,0033720128695;0,93465194573718;1,07714470696975;0,925904479134777
"MR";"sans_2202_2024";"intensite";"pluie_log_c";-0,00434647805358012;0,0469562739101987;0,995662954211496;0,908118161608403;1,0916472770827;0,926249648404955
