"source";"version";"reponse";"seuil";"seuil_mm";"n";"n_forte";"beta";"SE";"ratio";"IC95_inf";"IC95_sup";"p_value";"convergence";"hessienne";"p_FDR"
"IC";"complet";"presence";"Q75";0,91425;823;204;0,199210725462561;NA;1,22043911640217;NA;NA;NA;TRUE;TRUE;NA
"IC";"complet";"presence";"Q90";2,162;823;83;-0,749119055533388;NA;0,472782864788838;NA;NA;NA;TRUE;TRUE;NA
"IC";"complet";"presence";"Q95";3,383;823;42;-2,4885808178731;NA;0,0830277144509553;NA;NA;NA;TRUE;TRUE;NA
"IC";"complet";"intensite";"Q75";0,91425;556;143;-0,0043240572157157;0,0617799725373684;0,995685278059418;0,882132680053784;1,1238549430952;0,944200627746612;TRUE;TRUE;0,944200627746612
"IC";"complet";"intensite";"Q90";2,162;556;60;-0,156964995919701;0,0853371453697807;0,854733977470826;0,723086950300787;1,01034899321471;0,0658635207247765;TRUE;TRUE;0,19759056217433
"IC";"complet";"intensite";"Q95";3,383;556;32;-0,0232382974472665;0,108602047820382;0,977029632363135;0,789703033483111;1,2087922447319;0,830565301462974;TRUE;TRUE;0,944200627746612
"IC";"sans_2202_2024";"presence";"Q75";0,91425;642;156;0,114899491080918;NA;1,1217606849518;NA;NA;NA;TRUE;TRUE;NA
"IC";"sans_2202_2024";"presence";"Q90";2,162;642;65;-0,92049009016463;NA;0,398323778674063;NA;NA;NA;TRUE;TRUE;NA
"IC";"sans_2202_2024";"presence";"Q95";3,383;642;36;-2,14880927385787;NA;0,11662294111538;NA;NA;NA;TRUE;FALSE;NA
"IC";"sans_2202_2024";"intensite";"Q75";0,91425;554;142;-0,0061991440493372;0,0618202377002579;0,993820031000709;0,880410669973841;1,12183812361974;0,920124467206931;TRUE;TRUE;0,920124467206931
"IC";"sans_2202_2024";"intensite";"Q90";2,162;554;59;-0,160638528893004;0,0853941524716694;0,851599844216663;0,720355046960632;1,00675673437668;0,0599526016252096;TRUE;TRUE;0,179857804875629
"IC";"sans_2202_2024";"intensite";"Q95";3,383;554;32;-0,0234867676675095;0,108623366382752;0,976786899752359;0,78947385180517;1,20854243031128;0,828814661546252;TRUE;TRUE;0,920124467206931
"MR";"complet";"presence";"Q75";0,91425;754;181;0,090173682468976;0,885401965927209;1,09436433910046;0,192971229575088;6,20627908798588;0,918879778884632;TRUE;TRUE;0,918879778884632
"MR";"complet";"presence";"Q90";2,162;754;72;-1,05160518417076;1,4454067627936;0,349376485162048;0,0205559993957757;5,93811694746747;0,466889311824699;TRUE;TRUE;0,700333967737048
"MR";"complet";"presence";"Q95";3,383;754;36;-2,55117305246587;1,97925023048558;0,077990125811531;0,001611639163048;3,77408284903864;0,197412225717321;TRUE;TRUE;0,592236677151964
"MR";"complet";"intensite";"Q75";0,91425;522;132;0,0328465269295756;0,0631355208264204;1,0333919292381;0,913109844612993;1,16951852585387;0,602886335388473;TRUE;TRUE;0,875003610658796
"MR";"complet";"intensite";"Q90";2,162;522;56;-0,120979148507812;0,0879225195146873;0,886052434915681;0,745792933191275;1,05269020726783;0,168829515206737;TRUE;TRUE;0,50648854562021
"MR";"complet";"intensite";"Q95";3,383;522;29;0,0181291085717852;0,115247331338002;1,01829443844378;0,812405514935358;1,27636204371167;0,875003610658796;TRUE;TRUE;0,875003610658796
"MR";"sans_2202_2024";"presence";"Q75";0,91425;609;146;0,0929733655832859;0,885300422694269;1,09743250540416;0,193550762406758;6,22244050574507;0,916360731826196;TRUE;TRUE;0,916360731826196
"MR";"sans_2202_2024";"presence";"Q90";2,162;609;62;-1,04932060283157;1,44425175843984;0,350175576607543;0,0206497090477092;5,93824030009896;0,467501884665471;TRUE;TRUE;0,701252826998206
"MR";"sans_2202_2024";"presence";"Q95";3,383;609;33;-2,54888610914934;1,9786723465841;0,0781686889125308;0,00161715975121242;3,77844175365048;0,197683318339934;TRUE;TRUE;0,593049955019801
"MR";"sans_2202_2024";"intensite";"Q75";0,91425;522;132;0,0328465269295756;0,0631355208264204;1,0333919292381;0,913109844612993;1,16951852585387;0,602886335388473;TRUE;TRUE;0,875003610658796
"MR";"sans_2202_2024";"intensite";"Q90";2,162;522;56;-0,120979148507812;0,0879225195146873;0,886052434915681;0,745792933191275;1,05269020726783;0,168829515206737;TRUE;TRUE;0,50648854562021
"MR";"sans_2202_2024";"intensite";"Q95";3,383;522;29;0,0181291085717852;0,115247331338002;1,01829443844378;0,812405514935358;1,27636204371167;0,875003610658796;TRUE;TRUE;0,875003610658796
